400 3
-0.353711 2.966400 -0.353711
-0.320971 2.897506 -0.320971
-0.289491 2.810896 -0.289491
-0.259386 2.704759 -0.259386
-0.230762 2.577153 -0.230762
-0.203716 2.426002 -0.203716
-0.178329 2.249087 -0.178329
-0.154669 2.044044 -0.154669
-0.132792 1.808360 -0.132792
-0.112733 1.539366 -0.112733
-0.094514 1.234234 -0.094514
-0.078137 0.889977 -0.078137
-0.063585 0.503441 -0.063585
-0.050822 0.071310 -0.050822
-0.039792 -0.409903 -0.039792
-0.030421 -0.943847 -0.030421
-0.022614 -1.534337 -0.022614
-0.016260 -2.185350 -0.016260
-0.011229 -2.901022 -0.011229
-0.007378 -3.685637 -0.007378
-0.004551 -4.543623 -0.004551
-0.002584 -5.479544 -0.002584
-0.001311 -6.498079 -0.001311
-0.000565 -7.604015 -0.000565
-0.000188 -8.802223 -0.000188
-0.000039 -10.097640 -0.000039
-0.000003 -11.495238 -0.000003
